Product_ID;Product_Name;Category;Sale_Price_EUR;Cost_Price_EUR;Stock;Country_Origin;Brand;Color;Size;Gender
S000001;Resitance bands;Equipment;418,03;-300,98;358;Australia;Nike;Black;XL;Female
S000002;Jump Rope;Equipment;480,34;-331,43;186;Mexico;Reebok;Gray;L;Female
S000003;Cap;Accessories;122,65;-67,46;410;Japan;Puma;Gray;L;Female
S000004;Weight Discs;Equipment;293,78;-158,64;387;Spain;Under Armour;Black;L;Female
S000005;Sunglasses;Accessories;156,80;-117,60;52;Brazil;Adidas;Green;L;Male
S000006;Balls;Equipment;261,61;-159,58;409;Brazil;Puma;Green;L;Female
S000007;Boots;Footwear;263,31;-155,35;180;Uruguay;Reebok;Green;L;Male
S000008;Leggings;Clothing;456,98;-351,87;57;Spain;Under Armour;Red;L;Male
S000009;Football shoes;Footwear;124,00;-95,48;189;Germany;Adidas;Black;XL;Female
S000010;Leggings;Clothing;407,92;-301,86;291;Uruguay;Reebok;Blue;S;Male
S000011;Sunglasses;Accessories;111,33;-56,78;161;Japan;Adidas;Blue;M;Female
S000012;Running shoes;Footwear;340,34;-238,24;3;Australia;Under Armour;Blue;M;Male
S000013;Yoga mat;Equipment;189,67;-96,73;377;Uruguay;Reebok;Gray;XL;Male
S000014;Cap;Accessories;12,29;-8,97;63;Mexico;Under Armour;Red;S;Female
S000015;Jacket;Clothing;191,22;-126,21;297;Uruguay;Reebok;White;S;Male
S000016;Leggings;Clothing;377,36;-245,28;190;Spain;Puma;Blue;L;Male
S000017;Jacket;Clothing;435,92;-326,94;322;Australia;Puma;White;XL;Female
S000018;Bracelet;Accessories;361,89;-217,13;300;Brazil;Puma;Red;S;Male
S000019;Running shoes;Footwear;93,57;-65,50;478;EE.UU.;Adidas;Blue;S;Male
S000020;Balls;Equipment;13,58;-6,93;139;Uruguay;Nike;Blue;M;Male
S000021;Sunglasses;Accessories;38,50;-25,03;186;Germany;Puma;Blue;L;Female
S000022;Boots;Footwear;271,70;-146,72;488;Brazil;Under Armour;Blue;M;Female
S000023;Shorts;Clothing;306,42;-208,37;297;Brazil;Adidas;Green;M;Male
S000024;Balls;Equipment;484,40;-368,14;372;Mexico;Adidas;Gray;L;Female
S000025;Coat;Clothing;228,19;-171,14;348;Mexico;Reebok;Blue;S;Female
S000026;Foam Roller;Equipment;376,39;-267,24;399;Japan;Reebok;White;M;Male
S000027;Shorts;Clothing;376,10;-285,84;85;Mexico;Reebok;Blue;S;Female
S000028;Yoga mat;Equipment;82,90;-63,83;363;Spain;Under Armour;White;M;Male
S000029;Boots;Footwear;467,87;-280,72;304;Brazil;Under Armour;Blue;L;Male
S000030;Belt;Accessories;367,27;-264,43;50;Japan;Under Armour;Gray;S;Male
S000031;Belt;Accessories;69,84;-37,02;211;Germany;Under Armour;Black;S;Male
S000032;Sunglasses;Accessories;118,26;-89,88;153;Spain;Adidas;Red;M;Female
S000033;Gloves;Accessories;202,41;-157,88;410;Spain;Nike;Gray;XL;Female
S000034;Shorts;Clothing;74,26;-49,01;134;Mexico;Adidas;White;S;Female
S000035;Resitance bands;Equipment;313,36;-206,82;83;Australia;Nike;White;S;Male
S000036;Yoga mat;Equipment;321,28;-234,53;43;Brazil;Nike;Green;M;Female
S000037;Jacket;Clothing;247,90;-146,26;59;Brazil;Adidas;Black;S;Male
S000038;Foam Roller;Equipment;221,02;-159,13;303;Germany;Puma;Red;XL;Female
S000039;Shorts;Clothing;320,50;-160,25;123;Spain;Nike;Red;XL;Male
S000040;Towel;Accessories;322,61;-203,24;254;Mexico;Puma;Red;XL;Male
S000041;Yoga mat;Equipment;70,46;-50,73;276;Germany;Nike;Gray;XL;Male
S000042;Boots;Footwear;40,24;-26,56;398;Uruguay;Puma;White;S;Male
S000043;Leggings;Clothing;143,07;-111,59;435;EE.UU.;Reebok;Red;M;Female
S000044;Shorts;Clothing;299,56;-215,68;408;Mexico;Reebok;Black;S;Female
S000045;Gloves;Accessories;140,90;-109,90;0;Uruguay;Nike;Red;S;Male
S000046;Bracelet;Accessories;478,51;-244,04;129;Germany;Reebok;White;M;Female
S000047;Pants;Clothing;52,29;-28,76;140;Uruguay;Reebok;Gray;L;Female
S000048;Jump Rope;Equipment;204,88;-106,54;383;Australia;Puma;Green;L;Female
S000049;Coat;Clothing;263,72;-205,70;392;Brazil;Under Armour;White;S;Female
